Month (mm-yy),Sapling no.,Planting hole,Weeding treatment,Fertiliser treatment,Peat condition,Sun exposure,Insect herbivory,Dead/Live,Height (cm),DBH (cm),No. of leaves,RGR for Height,RGR for DBH
Jun-21,65-01-02,16,Weeding,TSP,Partial,High,NA,Live,177,1.34,NA,NA,NA
Jun-21,25-01-15,17,No weeding,None,Partial,Partial,NA,Live,227,0.79,NA,NA,NA
Jun-21,08-01-08,18,Weeding,Urea,Partial,High,NA,Live,186,0.51,NA,NA,NA
Jun-21,13-01-01,19,No weeding,Mixed,Partial,High,NA,Live,176.5,1.19,NA,NA,NA
Jun-21,30-01-16,20,Weeding,TSP,Partial,High,NA,Live,177,0.54,NA,NA,NA
Jun-21,73-01-02,21,No weeding,None,Partial,High,NA,Live,176,0.94,NA,NA,NA
Jun-21,69-01-02,22,Weeding,Urea,Waterlogged,High,NA,Live,199,0.92,NA,NA,NA
Jun-21,69-01-09,23,No weeding,Mixed,Waterlogged,High,None,Live,178,0.94,7,0,-0.00353
Jun-21,05-01-35,24,Weeding,TSP,Waterlogged,High,Intermediate,Live,204,1.21,NA,NA,NA
Jun-21,02-01-15,25,No weeding,None,Dry,High,NA,Live,177,0.89,NA,NA,NA
Jun-21,02-01-02,26,Weeding,Urea,Dry,High,Intermediate,Live,231,0.84,3,-0.00287,-0.0117
Jun-21,39-01-18,27,No weeding,Mixed,Waterlogged,High,Intermediate,Live,161,0.77,6,-0.00041,0.00877
Jun-21,77-01-19,28,Weeding,TSP,Dry,High,Low,Live,206,0.57,5,0.00489,0.0788
Jun-21,05-01-46,29,No weeding,None,Partial,High,NA,Live,176,0.81,NA,NA,NA
Jun-21,68-01-26,30,Weeding,Urea,Dry,High,Low,Live,177,1.31,7,-0.03228,0.00513
Jun-21,68-01-29,31,No weeding,Mixed,Partial,High,NA,Live,189,0.71,NA,NA,NA
Jun-21,56-01-07,32,No weeding,TSP,Dry,High,Low,Live,173,0.61,22,0.02087,0.05968
Jun-21,43-01-04,33,Weeding,None,Partial,High,Low,Live,175,0.49,20,0.01163,0.02106
Jun-21,49-01-07,34,No weeding,Urea,Partial,High,NA,Live,185,0.51,NA,NA,NA
Jun-21,03-01-24,35,Weeding,Mixed,Partial,Partial,Low,Live,190.5,1.3,10,-0.00087,0.03798
Jun-21,35-01-02,36,No weeding,TSP,Partial,High,NA,Live,197,0.84,NA,NA,NA
Jun-21,03-01-02,37,Weeding,None,Partial,High,NA,Live,177,0.97,NA,NA,NA
Jun-21,22-01-01,38,No weeding,Urea,Dry,High,Low,Live,176,1.26,29,0.00095,0.00533
Jun-21,02-01-09,39,Weeding,Mixed,Waterlogged,High,Intermediate,Live,235,1.14,18,0.00428,-0.04378
Jun-21,20-01-01,40,No weeding,TSP,Waterlogged,High,NA,Live,176,0.82,0,-0.09064,0.04335
Jun-21,77-01-17,41,Weeding,None,Partial,High,Low,Live,182,0.94,9,0.00929,0.0145
Jun-21,77-01-05,42,No weeding,Urea,Partial,High,NA,Live,232,0.69,NA,NA,NA
Jun-21,19-01-09,43,Weeding,Mixed,Partial,High,NA,Live,161.5,1.09,NA,NA,NA
Jun-21,20-01-33,44,No weeding,TSP,Dry,High,Low,Live,176,0.73,24,0.00095,0.04386
Jun-21,40-01-09,45,Weeding,None,Partial,Low,NA,Live,192,1.05,NA,NA,NA
Jun-21,18-01-15,46,No weeding,Urea,Partial,Partial,NA,Live,129,0.75,NA,NA,NA
Jun-21,08-01-16,47,Weeding,Mixed,Partial,Partial,NA,Live,198,1.1,NA,NA,NA
Jun-21,03-01-03,48,Weeding,TSP,Partial,High,NA,Live,99,1.12,NA,NA,NA
Jun-21,63-01-02,49,No weeding,None,Partial,Low,Low,Live,183,0.76,12,0.00459,-0.02533
Jun-21,09-01-26,50,No weeding,Urea,Partial,Low,NA,Live,215,0.5,NA,NA,NA
Jun-21,20-01-08,51,No weeding,Mixed,Partial,Low,Low,Live,187,1.33,9,-0.01396,-0.0401
Jun-21,40-01-13,52,No weeding,TSP,Dry,Partial,Low,Live,212.5,0.74,10,-0.00852,0
Jun-21,61-01-01,53,No weeding,None,Waterlogged,High,Low,Live,179,0.72,16,0.00639,-0.01802
Jun-21,55-01-01,54,Weeding,Urea,Partial,High,NA,Live,221,1.44,NA,NA,NA
Jun-21,49-01-13,55,No weeding,Mixed,Waterlogged,Partial,Intermediate,Live,199,0.9,11,0.00506,0.05636
Jun-21,66-01-01,56,Weeding,TSP,Waterlogged,High,Intermediate,Live,137,0.94,3,-0.01545,-0.0524
Jun-21,18-01-13,57,No weeding,None,Waterlogged,Low,NA,Live,230,1.47,NA,NA,NA
Jun-21,29-01-01,58,Weeding,Urea,Partial,High,NA,Live,197,1.04,NA,NA,NA
Jun-21,51-01-02,59,No weeding,Mixed,Dry,High,Low,Live,175.5,0.76,18,0.0021,0.00889
Jun-21,35-01-07,60,Weeding,TSP,Dry,High,Low,Live,211,1.52,15,0.04564,-0.0129
Jun-21,50-01-17,61,No weeding,None,Partial,Low,Low,Live,176,0.72,9,0,0.01905
Jun-21,75-01-19,62,No weeding,Urea,Partial,Low,Low,Live,180.5,0.52,7,0.00521,0.02668
Jun-21,18-01-08,63,No weeding,Mixed,Partial,Low,NA,Live,115,0.48,NA,NA,NA
Jun-21,40-01-28,64,No weeding,TSP,Dry,Partial,Low,Live,178,0.86,2,0,0.0039
Jun-21,75-01-07,65,Weeding,None,Partial,High,Low,Live,180,1.59,21,0.00523,-0.01436
Jun-21,35-01-04,66,No weeding,Urea,Partial,High,NA,Live,199.5,0.71,NA,NA,NA
Jun-21,64-01-02,67,Weeding,Mixed,Partial,High,Intermediate,Live,149,0.93,3,0.00473,0.38843
Jun-21,30-01-25,68,No weeding,TSP,Partial,High,NA,Live,130,0.9,NA,NA,NA
